feeder,qu_deadband_pct,qu_response_tau_s,oltc_deadband_pct,oltc_delay_s,total_tap_ops,warmup_tap_ops,taps_per_day,curtailment_mvarh,voltage_ripple_pu,sim_hours,tap_ops_reg1,tap_ops_reg2,tap_ops_reg3,wall_seconds,seed
ieee13,3.0,10.0,1.0,45.0,65,0,157.31533096165157,0.00018551882482696053,0.012764857785420136,9.916388888888891,37,28,0,29.906573057174683,42
ieee13,3.0,30.0,1.0,45.0,65,0,157.31533096165157,0.0002535415641020952,0.01272613279143775,9.916388888888891,37,28,0,28.577730417251587,42
ieee13,3.0,60.0,1.0,45.0,65,0,157.31533096165157,0.0003017062973053778,0.012715579176007963,9.916388888888891,37,28,0,30.13067102432251,42
ieee13,0.0,1.0,1.0,30.0,13,0,31.463066192330313,0.10427130898762212,0.008863495806684885,9.916388888888891,8,5,0,28.837097883224487,42
ieee13,0.0,1.0,1.0,60.0,7,0,16.9416510266394,0.10430009310029634,0.008762147557123567,9.916388888888891,6,1,0,32.548362016677856,42
ieee13,0.0,1.0,1.0,90.0,5,0,12.101179304742427,0.10429725607887957,0.008688382642631387,9.916388888888891,4,1,0,30.543720483779907,42
ieee13,0.0,1.0,1.5,30.0,0,1,0.0,0.11608450472462947,0.007459959709848807,9.916388888888891,1,0,0,29.501842975616455,42
ieee13,0.0,1.0,1.5,45.0,0,1,0.0,0.11608450467963471,0.00745995964362689,9.916388888888891,1,0,0,24.865208387374878,42
ieee13,0.0,1.0,1.5,60.0,0,1,0.0,0.11608450477980913,0.007459959588952403,9.916388888888891,1,0,0,25.59799027442932,42
ieee13,0.0,1.0,1.5,90.0,0,1,0.0,0.11608450451706158,0.007459959480313749,9.916388888888891,1,0,0,25.3107647895813,42
ieee13,0.0,1.0,2.0,30.0,1,0,2.4202358609484858,0.16929646489953856,0.007721694193214335,9.916388888888891,1,0,0,29.48465394973755,42
ieee13,0.0,1.0,2.0,45.0,1,0,2.4202358609484858,0.16932052873570017,0.007721694123509648,9.916388888888891,1,0,0,29.085489511489868,42
ieee13,0.0,1.0,2.0,60.0,1,0,2.4202358609484858,0.1693445493071812,0.007721694197326601,9.916388888888891,1,0,0,28.61944031715393,42
ieee13,0.0,1.0,2.0,90.0,1,0,2.4202358609484858,0.1693924781025936,0.007721694050335071,9.916388888888891,1,0,0,30.808232069015503,42
ieee34,0.0,1.0,1.0,45.0,493,10,1193.1762794476033,0.12236122974707303,0.03216279950666967,9.916388888888891,204,122,119,93.65807318687439,42
ieee34,0.0,10.0,1.0,45.0,479,10,1159.2929773943247,0.12844536569175016,0.03700147260477471,9.916388888888891,194,122,119,115.60658764839172,42
ieee34,0.0,30.0,1.0,45.0,485,10,1173.8143925600154,0.13157833082932668,0.03726145129211844,9.916388888888891,202,121,118,112.98697662353516,42
ieee34,0.0,60.0,1.0,45.0,491,10,1188.3358077257064,0.13339491791493002,0.03344423376930972,9.916388888888891,192,128,123,101.70593738555908,42
ieee34,1.0,1.0,1.0,45.0,495,10,1198.0167511695004,0.09429948014855778,0.03021855896383474,9.916388888888891,208,127,118,117.6832320690155,42
ieee34,1.0,10.0,1.0,45.0,485,10,1173.8143925600154,0.09593602735688521,0.032592706661633386,9.916388888888891,206,125,112,115.59182548522949,42
ieee34,1.0,30.0,1.0,45.0,483,10,1168.9739208381186,0.09777711449006576,0.0328356424483085,9.916388888888891,204,125,112,94.44954943656921,42
ieee34,1.0,60.0,1.0,45.0,501,10,1212.5381663351914,0.09883734942058559,0.034627183415086304,9.916388888888891,206,127,120,121.48904538154602,42
ieee34,2.0,1.0,1.0,45.0,510,10,1234.3202890837276,0.06518895239124341,0.030234806724421692,9.916388888888891,221,137,110,106.18458700180054,42
ieee34,2.0,10.0,1.0,45.0,510,10,1234.3202890837276,0.06602857439199261,0.03490711529282697,9.916388888888891,227,139,104,130.98568725585938,42
ieee34,2.0,30.0,1.0,45.0,508,10,1229.4798173618306,0.06723988438757461,0.03138828873600785,9.916388888888891,213,139,110,131.77860021591187,42
ieee34,2.0,60.0,1.0,45.0,506,10,1224.6393456399337,0.06800855860281503,0.03102382002592874,9.916388888888891,207,135,116,140.73465275764465,42
ieee34,3.0,1.0,1.0,45.0,511,11,1236.740524944676,0.04260459180968162,0.034984388673042544,9.916388888888891,235,143,95,121.07551670074463,42
ieee34,3.0,10.0,1.0,45.0,504,10,1219.7988739180366,0.043451522239074766,0.03538407716162373,9.916388888888891,233,143,87,153.17791962623596,42
ieee34,3.0,30.0,1.0,45.0,506,10,1224.6393456399337,0.044561207091629126,0.03553518102301223,9.916388888888891,229,141,95,102.32135939598083,42
ieee34,3.0,60.0,1.0,45.0,518,10,1253.6821759713155,0.04515976248148073,0.035493354304882097,9.916388888888891,233,141,102,42.754149436950684,42
ieee34,0.0,1.0,1.0,30.0,613,10,1483.6045827614216,0.12228453401797908,0.0321622392616604,9.916388888888891,234,170,143,137.07165360450745,42
ieee34,0.0,1.0,1.0,60.0,365,10,883.3860892461972,0.12217404753531706,0.028587101285796668,9.916388888888891,154,98,83,183.51559019088745,42
ieee34,0.0,1.0,1.0,90.0,187,10,452.5841059973668,0.12166034840775433,0.02791744826403142,9.916388888888891,82,47,44,186.17927885055542,42
ieee34,0.0,1.0,1.5,30.0,159,6,384.8175018908092,0.130231568328956,0.026510943040566115,9.916388888888891,68,52,35,110.98835730552673,42
ieee34,0.0,1.0,1.5,45.0,131,6,317.0508977842516,0.13014483640148009,0.02651094292898515,9.916388888888891,54,42,31,90.41126465797424,42
ieee34,0.0,1.0,1.5,60.0,95,6,229.92240679010612,0.12976352722666473,0.02564527731568511,9.916388888888891,40,30,21,53.46838974952698,42
ieee34,0.0,1.0,1.5,90.0,63,6,152.47485923975458,0.12952569491197613,0.025645277315922033,9.916388888888891,26,18,15,51.36717653274536,42
ieee34,0.0,1.0,2.0,30.0,70,7,169.416510266394,0.1290745335085155,0.02494156593090746,9.916388888888891,30,22,15,55.31832242012024,42
ieee34,0.0,1.0,2.0,45.0,64,7,154.8950951007031,0.12888050879052637,0.024941565919482267,9.916388888888891,26,22,13,62.54798412322998,42
ieee34,0.0,1.0,2.0,60.0,49,7,118.5915571864758,0.1293815551143526,0.02481638490875837,9.916388888888891,20,15,11,110.79833579063416,42
ieee34,0.0,1.0,2.0,90.0,41,7,99.22967029888791,0.12910043351244252,0.024816384906050648,9.916388888888891,18,11,9,117.614981174469,42
ieee123,0.0,1.0,1.0,45.0,350,4,847.08255133197,0.41390029056864763,0.016917751746413856,9.916388888888891,63,59,53,110.0301194190979,42
ieee123,0.0,10.0,1.0,45.0,348,4,842.242079610073,0.4206166669671767,0.018245487165718832,9.916388888888891,63,59,53,132.47290086746216,42
ieee123,0.0,30.0,1.0,45.0,378,4,914.8491554385275,0.4312139531621284,0.018823617824279326,9.916388888888891,69,63,57,134.5643708705902,42
ieee123,0.0,60.0,1.0,45.0,403,4,975.3550519622397,0.4370761120731635,0.01884030977000517,9.916388888888891,75,74,61,82.9387137889862,42
ieee123,1.0,1.0,1.0,45.0,367,2,888.2265609680942,0.2571460240250684,0.016855896357680256,9.916388888888891,69,63,59,66.83451461791992,42
ieee123,1.0,10.0,1.0,45.0,359,2,868.8646740805063,0.2636975933708944,0.018041069723977676,9.916388888888891,69,63,57,72.65651750564575,42
ieee123,1.0,30.0,1.0,45.0,383,2,926.95033474327,0.27085629501737396,0.018524320186838805,9.916388888888891,73,67,62,79.30442690849304,42
ieee123,1.0,60.0,1.0,45.0,425,2,1028.6002409031064,0.2787398288388066,0.01858908662102965,9.916388888888891,81,79,65,110.79085111618042,42
ieee123,2.0,1.0,1.0,45.0,374,2,905.1682119947336,0.14989714358065917,0.016735580265400896,9.916388888888891,68,67,62,127.0006194114685,42
ieee123,2.0,10.0,1.0,45.0,360,2,871.2849099414548,0.15509796649616084,0.017987380495218308,9.916388888888891,65,64,60,131.00583052635193,42
ieee123,2.0,30.0,1.0,45.0,366,2,885.8063251071458,0.16198822668005594,0.018204671445313125,9.916388888888891,71,64,59,131.26188898086548,42
ieee123,2.0,60.0,1.0,45.0,395,2,955.9931650746518,0.166982982645154,0.018207581823665886,9.916388888888891,81,75,61,130.13803100585938,42
ieee123,3.0,1.0,1.0,45.0,364,2,880.9658533852487,0.06070843529092163,0.01675360343533705,9.916388888888891,75,64,61,106.74958944320679,42
ieee123,3.0,10.0,1.0,45.0,356,2,861.6039664976608,0.06605736943171231,0.017546248431868583,9.916388888888891,71,68,59,129.09523057937622,42
ieee123,3.0,30.0,1.0,45.0,359,1,868.8646740805063,0.07322048933493737,0.01768226228830616,9.916388888888891,76,73,57,78.29171085357666,42
ieee123,3.0,60.0,1.0,45.0,387,1,936.6312781870639,0.07538049555041777,0.0177093678830772,9.916388888888891,83,82,59,67.49621820449829,42
ieee123,0.0,1.0,1.0,30.0,444,4,1074.5847222611276,0.4139526541148216,0.01691776561144931,9.916388888888891,83,75,67,71.01674437522888,42
ieee123,0.0,1.0,1.0,60.0,272,4,658.304154177988,0.4126780252938431,0.016929809241073235,9.916388888888891,47,47,43,84.46480417251587,42
ieee123,0.0,1.0,1.0,90.0,154,4,372.7163225860668,0.4090379739311246,0.016937314482128096,9.916388888888891,27,27,25,104.8688850402832,42
ieee123,0.0,1.0,1.5,30.0,53,0,128.27250063026975,0.478981056217674,0.012162891856750235,9.916388888888891,22,21,5,103.90613079071045,42
ieee123,0.0,1.0,1.5,45.0,45,0,108.91061374268185,0.4791585443165384,0.012162891846096313,9.916388888888891,18,17,5,116.38984870910645,42
ieee123,0.0,1.0,1.5,60.0,28,0,67.7666041065576,0.4765239732735164,0.012226197470032951,9.916388888888891,11,10,3,81.4099600315094,42
ieee123,0.0,1.0,1.5,90.0,24,0,58.08566066276365,0.47618068054725987,0.012235287546243923,9.916388888888891,9,8,3,73.72739005088806,42
ieee123,0.0,1.0,2.0,30.0,4,0,9.680943443793943,0.4749919872888807,0.012199649920836442,9.916388888888891,2,1,1,73.24052453041077,42
ieee123,0.0,1.0,2.0,45.0,4,0,9.680943443793943,0.47500768179684877,0.01219964991509126,9.916388888888891,2,1,1,111.19658422470093,42
ieee123,0.0,1.0,2.0,60.0,3,0,7.260707582845456,0.47422660184977616,0.01219965027773029,9.916388888888891,2,1,0,120.88848567008972,42
ieee123,0.0,1.0,2.0,90.0,3,0,7.260707582845456,0.47425772079882406,0.012199650297051723,9.916388888888891,2,1,0,109.5118019580841,42
